trial,experiment,hidden_dim,hgnn_dim,num_hgnn_layers,attn_heads,learning_rate,weight_decay,dropout,val_f1,val_loss,test_f1,test_roc_auc,test_accuracy,test_precision,test_recall,duration_min
35,hgnn_trial35_h128_hd128_nl4_ah2_lr1.19e-03_wd2.78e-04_dr50,128,128,4,2,0.0011872731425335897,0.00027838036931305,0.5,0.8469976905311778,0.3713013443851443,0.7460389633101325,0.826916337841713,0.7602839220864972,0.7931726907630522,0.7041928029052492,33.24546190500259
23,hgnn_trial23_h64_hd128_nl4_ah2_lr1.81e-03_wd4.38e-05_dr40,64,128,4,2,0.0018145961353490244,4.3767126303409534e-05,0.4,0.845691382765531,0.3710309044688405,0.7516265620159042,0.8328773326971006,0.7618025751072961,0.7851697353279632,0.720831957741829,22.072679185867308
44,hgnn_trial44_h128_hd256_nl1_ah2_lr5.37e-03_wd3.80e-05_dr40,128,256,1,2,0.005365450324352026,3.795833579265288e-05,0.4,0.8443778110944528,0.35872474093583095,0.7755695932997374,0.8754016227638168,0.7912182238362496,0.8384101895189136,0.7214922416639155,10.323513658841451
13,hgnn_trial13_h64_hd64_nl2_ah2_lr2.86e-03_wd8.81e-05_dr40,64,64,2,2,0.0028580510658069366,8.810003129071791e-05,0.4,0.8410934214478822,0.35992238614691746,0.748440901878298,0.8699269447830213,0.7749422251568174,0.848335285260164,0.6695939253879168,11.586706988016765
39,hgnn_trial39_h64_hd256_nl3_ah1_lr5.91e-03_wd1.53e-06_dr20,64,256,3,1,0.00590568592506064,1.5255188579331416e-06,0.2,0.8384358896635344,0.3628494479036149,0.7040507859733979,0.8363459704642293,0.7414328161109277,0.8230409046735577,0.6151205018157808,18.800763352711996
3,hgnn_trial03_h64_hd32_nl2_ah2_lr1.43e-03_wd2.43e-06_dr50,64,32,2,2,0.001432249371823025,2.434542396201694e-06,0.5,0.8359820089955022,0.3644242560155043,0.7470038000584625,0.8572630261385457,0.7714097061736547,0.8362922359486215,0.6749422251568175,12.30640215476354
16,hgnn_trial16_h64_hd64_nl3_ah2_lr4.05e-03_wd2.64e-06_dr40,64,64,3,2,0.004050837781329677,2.644898018392711e-06,0.4,0.8353319684118163,0.37199901553349274,0.757953462095265,0.8531362429060078,0.7736876857048531,0.8145871281117183,0.7086827335754374,17.55775636434555
25,hgnn_trial25_h128_hd64_nl3_ah2_lr3.52e-03_wd2.87e-06_dr50,128,64,3,2,0.00352135880546787,2.8701652421858187e-06,0.5,0.8253393665158371,0.3833776060080802,0.701363259772539,0.8254338925328515,0.7381974248927039,0.8161977386273994,0.6148563882469462,25.143329441547394
20,hgnn_trial20_h64_hd64_nl2_ah8_lr4.83e-03_wd1.23e-05_dr50,64,64,2,8,0.004833180632488467,1.231150363241565e-05,0.5,0.8239416058394161,0.40428021181047086,0.7406142130173303,0.8422161430372471,0.7593595245955761,0.8031799938252547,0.687091449323209,11.484777788321177
11,hgnn_trial11_h64_hd256_nl3_ah8_lr4.09e-03_wd2.22e-06_dr30,64,256,3,8,0.004091220574443786,2.2158645374549903e-06,0.3,0.8161180476730987,0.4375615800503739,0.7231561822125814,0.8002322329073603,0.7303400462198746,0.7429486733059405,0.7043908880818752,17.536039960384368
7,hgnn_trial07_h64_hd256_nl1_ah4_lr6.80e-03_wd3.36e-06_dr30,64,256,1,4,0.0067989624215911305,3.357296705351793e-06,0.3,0.7900599828620394,0.49565252081265554,0.72639177296549,0.7916366332669962,0.7259491581379993,0.7252204817691194,0.7275668537471113,6.706685916582743
36,hgnn_trial36_h128_hd256_nl2_ah8_lr5.92e-03_wd3.11e-06_dr40,128,256,2,8,0.005918951335463648,3.1062960067335372e-06,0.4,0.6713522631430981,0.5784718371658123,0.49810825418886573,0.6452984656627837,0.5708154506437768,0.5997025192897648,0.42594915813799933,18.9916983127594
18,hgnn_trial18_h128_hd128_nl4_ah8_lr9.24e-03_wd1.01e-04_dr30,128,128,4,8,0.009239150319627255,0.00010057690178153979,0.3,0.6665358964299726,0.6931560783043929,0.6666666666666666,0.4644822705919373,0.5,0.5,1.0,11.385953625043234
41,hgnn_trial41_h128_hd128_nl4_ah2_lr7.30e-03_wd3.50e-05_dr10,128,128,4,2,0.007296312489711155,3.4993311117088494e-05,0.1,0.6665358964299726,0.6931551116184124,0.6666666666666666,0.4156530145863019,0.5,0.5,1.0,10.435499767462412
32,hgnn_trial32_h128_hd32_nl3_ah1_lr6.74e-03_wd7.65e-06_dr50,128,32,3,1,0.006741204610702764,7.651053666754206e-06,0.5,0.6665358964299726,0.6932096696138452,0.6666666666666666,0.5246071337912014,0.5,0.5,1.0,7.45251343647639
8,hgnn_trial08_h256_hd32_nl4_ah1_lr1.52e-03_wd2.85e-06_dr40,256,32,4,1,0.001519934830130981,2.8465263577610947e-06,0.4,0.615260612573885,0.6904202157800848,0.4609154069057012,0.4763536022041145,0.4902277979531198,0.48903541265372646,0.4358534169692968,32.08528691927592
48,hgnn_trial48_h64_hd256_nl2_ah1_lr5.90e-03_wd1.67e-05_dr50,64,256,2,1,0.0059015647980233885,1.671827894765161e-05,0.5,0.5573033707865168,0.6252318973504785,0.3188405797101449,0.508717809932619,0.543809838230439,0.6290604940673021,0.2135358204027732,10.757301954428355
21,hgnn_trial21_h64_hd256_nl4_ah8_lr1.32e-03_wd1.69e-05_dr50,64,256,4,8,0.0013244581340099357,1.6850517723339093e-05,0.5,0.5561497326203209,0.6260425311462007,0.27148696713914106,0.48128811823550954,0.5469461868603499,0.692578548212351,0.16883459887751734,22.741524851322175
28,hgnn_trial28_h64_hd32_nl4_ah1_lr3.96e-03_wd1.92e-04_dr50,64,32,4,1,0.003961867790406584,0.00019212959255386378,0.5,0.36675951717734445,0.6920381765675636,0.09311866724684528,0.4787745596899173,0.5183558930340046,0.7951167728237792,0.04945526576427864,16.63069703976313
26,hgnn_trial26_h64_hd128_nl4_ah1_lr9.32e-03_wd8.32e-05_dr10,64,128,4,1,0.009323621351781481,8.319514671870781e-05,0.1,0.0,0.6931532726073202,0.0,0.5728370290013745,0.5,0.0,0.0,6.561757107575734
27,hgnn_trial27_h256_hd128_nl2_ah1_lr8.70e-03_wd1.65e-04_dr20,256,128,2,1,0.008699593128513324,0.00016466293382966812,0.2,0.0,0.6931513271355636,0.0,0.48829455900107693,0.5,0.0,0.0,11.43680325349172
31,hgnn_trial31_h256_hd256_nl4_ah1_lr2.45e-03_wd4.70e-06_dr20,256,256,4,1,0.0024472440973990124,4.700720768446127e-06,0.2,0.0,0.6931891171291809,0.0,0.41785462876141394,0.5,0.0,0.0,20.110648981730144
38,hgnn_trial38_h512_hd256_nl4_ah1_lr5.09e-03_wd6.39e-05_dr10,512,256,4,1,0.005091635945818554,6.394979414183317e-05,0.1,0.0,0.6931498323022776,0.0,0.4288745298147401,0.5,0.0,0.0,63.20190747578939
40,hgnn_trial40_h128_hd64_nl4_ah2_lr2.28e-03_wd1.94e-06_dr40,128,64,4,2,0.0022827887759905123,1.936518766909302e-06,0.4,0.0,0.6931397011259718,0.0,0.4624866109396337,0.5,0.0,0.0,11.78079708814621
45,hgnn_trial45_h64_hd256_nl3_ah8_lr7.71e-03_wd1.48e-05_dr30,64,256,3,8,0.007712811947156352,1.4782014634883786e-05,0.3,0.0,0.6931240502158555,0.0006600660066006601,0.4694678501785481,0.5001650709805217,1.0,0.0003301419610432486,5.747168779373169
